                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15      fsage19       fsage1      fsage20      fsage21      fsage22      fsage23      fsage24      fsage25      fsage26      fsage27       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100   nethack200   nethack300   nethack400   nethack500     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25    sqmchnt26    sqmchnt27    sqmchnt28    sqmchnt29     sqmchnt2    sqmchnt30    sqmchnt31    sqmchnt32    sqmchnt33    sqmchnt34    sqmchnt35    sqmchnt36     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                                 Azoth           34            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            3            0            3            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            1            0            0            0            1            2            1            5            0            0            0            0            0            2            0            1            0            0            0            0            0            0            0            2            0            1            2            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0
                                      Beast Powder Box           25            3           11            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0
                                       Black Dyestuffs        15187         1122          154            0            0            0            0            0            0            0            0            0            0          105           44          276           34          343            0            0            0            0            0            0            0          257            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          254            0            4            3           17            0            0            0            0            0            0            0            0         5731          765         1141            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           25            0            0         2340         1488         1084            0            0            0            0            0            0            0            0            0            0
                                            Bloody Axe          130            9            7            4            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            1           13            5            1            0            0            0            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            4            7            3            0            0            5            6            4           12            2            5            0            8            4           11            0            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
                                             Chocolate        39825         2812            0            0            0            0            0            0            0          635            0            0            0            0           44            0            0          994            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1178            0            0            0            0            0            0            0            0            0            0            0        17066          988          987            0          386            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           33            0            0            0            0            0         2302            0         5991         3899         2510            0            0            0            0            0            0            0            0            0            0
                                       Chocolate Drink        38765         2821            0            0            0            0            0            0            0            0            0            0            0            0            0          687            0          964            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1228            0            0            0            0            0            0            0            0            0            0            0        16729          991          941            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         7191            0         2734         1964         2515            0            0            0            0            0            0            0            0            0            0
                                                  Coal       103595         4551         1548         3249            0            0            0            0            0           18            0            0            0         1231           40            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1919         1976         1006            0            0            0        16448         3471         4470         7936         6501         2377            0            0            0            0            0            0            0            0            0         1509         2128         4389            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           57            0            0            0            0            0            0            0           54            0        15013            0            0            0            0            0         3934         4384        15386            0            0            0            0            0            0            0            0            0            0
                                  Cobaltblue Dyestuffs        15270          715          167            0            0            0            0            0            0            0            0            0            0           93           34          304            0          379            0            0            0            0            0            0            0          286            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          230            0            0            0           21            0            0            0            0            0            0            0            0         6171          712         1152            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0         2402         1481         1112            0            0            0            0            0            0            0            0            0            0
                                            Cookie Bag       261189           22        11188            0            0            0            0            0            0            0            0            0            0         3379            0          958            0         1551            0            0            0            0            0            0            0        10845            0            0            0            0            0            0            0            0            0            0            0        15044        15352         7745            0            0            0        13895         3846        19811        15187            0         9793          930            0            0            0            0            0            0            0         6376            0        30000            0         3601            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0        15036            0            0            0            0            0            0            0            0            0            0        15091            0            0            0            0            0            0            0            0            0         3854        15250            0            0            0            0            0            0          777            0         4660            0            0            0        10843            0         5411            0        18642         2102            0            0            0            0            0            0            0            0            0
                                               Coronet          102            2            2            1            0            0            0            0            0            0            0            0            0            1            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            1            0            0            4            2            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            1            0            0            0            2            1            4            0            0            7            5            4            5            9            6            3            2            4            0            9            0            0            0            0            0            0            0            5            0            1            1            1            0            0            0            0            0            0            0            0            0            0            1            0            0            2            1            0            0            0            0            0            0            1            0            0            0
                                               Corsair          143            3            7           12            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4           10            0            0            8            7            1            0            0            0            0            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            5            6            4            0            0            9            5            3            2            7            5            8            9            5            5            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            4            0            0            0            0            0            0            0            0            0            1            0
                                       Cracked Diamond        65762         2886          175          760            0            0            0            0            0            0            0            0            0          733           40         1035            0          362            0            0            0            0            0            0            0          287            0            0            0            0            0            0            0            0            0            0            0          974          970          491            0            0            0         5727         1597         1508         1798         3060          361           64            0            0            0            0            0            0            0            0        12799         1779         3754            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         6445            0            0            6            0            0         2670         5854         9627            0            0            0            0            0            0            0            0            0            0
                                          Crystal Blue       132703         5552            0         2030            0            0            0            0            0            0            0          345            0         1737           52            0            0          229            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2465         2431         1295            0            0            0        20567         4245         3389         4905         8254          952          147            0            0            0            0            0            0            0            0        22712         2615         5349            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           32            0            0            0            0            0            0            0            0            0        12065          848          196          309            0            0         5027         5540        19411            0            0            0            0            0            1            0            0            0            0
                                           Cursed Ruby       101179         4624          185            0            0            0            0            0            0            0            0            0            0         1188           38         1542            0          374            0            0            0            0            0            0            0          259            0            0            0            0            0            0            0            0            0            0            0         1552         1589          802            0            0            0         9323            0         2284         3060         5077          574          110            0            0            0            0            0            0            0            0        27449         2382         5259            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           85            0            0            0            0            0            0            0            0            0        11925            0          302           25            0            0         3904         4590        12677            0            0            0            0            0            0            0            0            0            0
                                                Cutlus           60            2            4            4            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            2            1            1            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            3            2            1            0            0            3            2            0            6            3            0            1            5            3            3            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
