                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7
                                       Chocolate Drink        22177         1947            0            0            0            0            0            0            0            0            0            0            0            0            0          687          964            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2243          991          941            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           34         7157            0         2734         1964         2515            0            0            0            0            0            0            0            0
                                                  Coal        57566         2018         1548         1583            0            0            0            0            0           18            0            0            0         1231          433            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2614         3470         4470         4003            0         1643          131            0            0            0            0         1509         2128         4389            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           57            0            0            0            0           54            0        15013            0            0            0            0            0         3934         4384         2936            0            0            0            0            0            0            0            0
                                  Cobaltblue Dyestuffs        10160          370          167            0            0            0            0            0            0            0            0            0            0           93            0          304          379            0            0            0            0            0            0          286            0            0            0            0            0            0            0            0            0            0            0          349            0          230            0            0            0           21            0            0            0            0         1369          354          765            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0           11          465            0         2402         1481         1112            0            0            0            0            0            0            0            0
                                               Coronet           42            2            2            1            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            5            2            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            1            0            0            0            0            0            7            0            3            1            3            0            0            0            0            0            0            1            0            0            0            2            1            0            0            0            0            0            0            1            0
                                               Corsair           74            3            7           12            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            6            0           11            0            0            8            7            1            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            5            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0
                                       Cracked Diamond        38578         1303          175            0            0            0            0            0            0            0            0            0            0          733          252         1035          362            0            0            0            0            0            0          287            0            0            0            0            0            0            0            0            0            0            0         1571         1597         1508            0            0            0           63            0            0            0            0         5296         1407         3400            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         6445            0            0            6          953            0         2670         5854         3661            0            0            0            0            0            0            0            0
                                          Crystal Blue        74657         2481            0            0            0            0            0            0            0            0            0            1            0         1737          560            0          229            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0         3335         4245         3389            0            0            0          147            0            0            0            0        15603         2615         5349            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           32            0            0            0            0            0            0        12065          848          200          300         7119            0         5027         5540         3830            0            0            0            0            0            0            0            0
                                           Cursed Ruby        59806         2326          185            0            0            0            0            0            0            0            0            0            0         1188          395         1542          374            0            0            0            0            0            0          259            0            0            0            0            0            0            0            0            0            0            0         2443         2696         2284            0            0            0          110            0            0            0            0        10757         2012         4889            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           85            0            0            0            0            0            0        11925            0          302           25         4687            0         3904         4590         2828            0            0            0            0            0            0            0            0
                                                Cutlus           29            2            4            4            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            2            1            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0
                                   Darkgreen Dyestuffs        10013          758          196            0            0            0            0            0            0            0            0            0            0          102            0          289          318            0            0            0            0            0            0          300            0            0            0            0            0            0            0            0            0            0            0          332            0          190            0            0            0           18            0            0            0            0          932          357          783            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0           19          493            0         2366         1507         1050            0            0            0            0            0            0            0            0
                                              Emperium        14059          856          174            0            0            0            0            0            0            0            0            0            0           33           26            0          337            0            0            0            0            0            0          240            0            0            0            0            0            0            0            0            0            0            0          790          274          562            0           12          140           24            0            0            0            0         1525          520         1019            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           18           14          807            0         3054         2129         1505            0            0            0            0            0            0            0            0
                                          Empty Bottle       914428        30000        30000        30000        30000        30000        30000        30000        30000        30000            0        30000        30000        30000        30000        30000        27181            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            3            0        22382        30000        10330        25911            0           14            2        30000            0          869            0        30000        30000        30000            0            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0         3900            0        29735            0            0            0         1863            0            0            0            0        30000        30000        30000        30000        30000        30000            8        30000            0            0            0        11305          911            0            0            0            0            0            0
                                              Erde [2]           36            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            4           10            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            1            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0
                                             Evil Wing           42            4            3            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            6            2            6            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            1            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            2            1            0            0            0            0            0            0            0            0
                                             Fireblend           47            2            2            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            1            0            1            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            1            1           18            0            0            0            8            0            0            0            0            0            1            1            0            0            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0
                                           Flame Heart        38979         1723          161            0            0            0            0            0            0            7            0            0            0          770          221          261          386            0            0            0            0            0            0          278            0            0            0            0            0            0            0            0            0            0            0         1640         1746         1631            0            4            0           79            0            0            0            0         7111         1370         3015            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0         6773            0            0            0         1094            0         2764         5821         2123            0            0            0            0            0            0            0            0
                                         Fortune Sword          105            7           15            9            0            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            7            0            0            4           14            9            0            0            1            0            0            7            0            6            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            3            0            0            0            0            0            0            0            0            0
                                              Gae Bolg          123            7           13           13            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           10            0            0            2            2            4            0            0            0            0            0           10            0            1            0            0            0            0            0            0            0            0            0            0            0            1            3            0            0            0            0            8           16            0            0            0            0            0            9           20            0            0            0            0            0            1            0            0            0            0            2            0            0            0            0            0            0            0            0            0
                                         Giant Axe [1]           12            3            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Great Nature        38041         1779          159            0            0            0            0            0            0            0            0            0            0          769          225          287          349            0            0            0            0            0            0          279            0            0            0            0            0            0            0            0            0            0            0         1585         1753         1540            0            0            0           75            0            0            0            0         7228         1461         2944            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0         6809            0            0            3          307            0         2832         5463         2089            0           98            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7
                                            Green Live        73441         2442            0            0            0            0            0            0            0            1            0            0            0         1720          552            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3266         4267         3275            0            0            0          160            0            0            0            0        15160         2663         5527            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         5101            0          150            0         7192            0        12360         5592         3771            0          242            0            0            0            0            0            0
                                   Hand-made Chocolate        21951         1836            0            0            0            0            0            0            0            0            0            0            0            0            0          748          931            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2213          946          998            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           48         5019            0         2765         3919         2528            0            0            0            0            0            0            0            0
                              Handmade White Chocolate        21942         1952            0            0            0            0            0            0            0            0            0            0            0            0            0          704          974            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2260         1042          959            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           36         1784            0         5913         3803         2515            0            0            0            0            0            0            0            0
