                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack2    jacblack3  jakandjill1    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                       Cracked Diamond        43002         2577          175          760            0            0            0            0            0            0            0            0            0          733          252         1035            0          362            0            0            0            0            0            0          287            0            0            0            0            0            0            0            0            0         1597         1508            0           64            0            0            0            0        10214         1779         3754            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            6            0            0         2670         5854         9375            0            0            0            0            0            0            0            0            0
                                          Crystal Blue        78928         4777            0         2030            0            0            0            0            0            0            0          337            0         1737          560            0            0          229            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         4245         3389            0          147            0            0            0            0        22712         2615         5349            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           32            0            0            0            0            0            0          848          200          300            0            0         5027         5540        18851            0            0            0            0            0            0            0            0            0
                                           Cursed Ruby        64272         4150          185         1296            0            0            0            0            0            0            0            0            0         1188          395         1542            0          374            0            0            0            0            0            0          259            0            0            0            0            0            0            0            0            0            0         2284            0          110            0            0            0            0        23660         2382         5259            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           85            0            0            0            0            0            0            0          302           25            0            0         3904         4590        12282            0            0            0            0            0            0            0            0            0
                                                Cutlus           39            2            4            4            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            3            2            1            0            0            3            2            0            6            3            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0            0
                                   Darkgreen Dyestuffs        12515         1125          196            0            0            0            0            0            0            0            0            0            0          102            0          289            0          318            0            0            0            0            0            0          300            0            0            0            0            0            0            0            0            0            0          190            0           18            0            0            0            0         3179          706         1150            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           19            0            0         2366         1507         1050            0            0            0            0            0            0            0            0            0
                                               Elunium        47669          799            0          424            0            0         2621            0            2           11            0           26           14          106          112            0         2742          370            0            0            0            0            0            0          281            0            0            0            0            0            0            0         4903           60            0          879            0            7            1            0           96            0         9442          377          478            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0          128            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          166            0          568           10          230         1438            0         2366        11098         7382          503            0            0            0            0            0            0           28            0
                                               Emerald        43694         3793            0         3370            0            0            0            0            0            0            0            0            0         1001         1074          199            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         5732            0          242            0            0            0            0            0            0         1255            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0         2569            0        24458            0            0            0            0            0            0            0            0            0
                                              Emperium        16988         1334          174          125            0            0            0            0            0            0            0            0            0           33           26            0          112          337            0            0            0            0            0            0          240            0            0            0            0            0            0            0            0            0          330          562            0           23            0            0            0            0         3035          877         1398            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            3            0            0           18           14          811            0         3054         2129         2352            0            0            0            0            0            0            0            0            0
                                              Erde [2]           68            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            1            0            6            7            4            0            0            7            3            5           14            7            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack2    jacblack3  jakandjill1    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                             Evil Wing           71            4            3            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            1            4            5            0            0            0            7            4            6            6            7            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            2            1            0            0            0            0            0            0            0            0            0
                                             Fireblend           64            2            2            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            1            1           18            0            0            0            8            2            4            0            0            1            3            1            4            4            2            0            0            0            0            0            1            0            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0            0
