                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900   tropicalf1      yothor1      yothor2      yothor3      zampow1     zinjipo1      zipodi1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                     Military Ration C            1            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                     Mischievous Fairy            3            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      Morrigane's Belt            2            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      Morrigane's Helm            2            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                   Morrigane's Pendant            2            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                 Orange Gooey Mushroom           40            0            0            0            0           15            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0           10            0           11            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                             Panda Hat           75            0            0            0            0            4            0            0            0            1            1            0            0            0            0            4            0            0            0            0            0            0            0            7            3            0            0            0            0            0            0            0            0            6            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            3            1            0            0            0            0            0            0            0            0            0            2           21            0            0            0            7            0            4            0            0            0            1            0            0            0            0            0            0            0
                                                 Pearl        17859            0            0            0            0         1149            0            4            0            0            0          445            0            0           76         2426            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1012          961            0            0            0            0          139            0            0            0            0            0            0          692            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          112            0            0            0            0            0            0            0          630            0            0            0            0         3839            0            0            0         6374            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Piece of Cake        41610            0            0            0            0         5416            0            0            0            0         2240            0            0           28            0        12629            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0          327            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3417            0            0            0            0        16949          597            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900   tropicalf1      yothor1      yothor2      yothor3      zampow1     zinjipo1      zipodi1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                         Pirate Dagger            7            0            0            0            0            2            0            0            2            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Poison Bottle         1348            0            0            0            0          149            0            0            0            0            0          121            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3         1045            0            0           30            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Poison Spore       102909            0            0            0            0        26670            0         3426            0            8        24200           16            0            0            0            0         2978            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           44            2            0            0            0            0         6875            0            0            0        12500            0            0            0            0            0            0         3823            0         1400            0            0            0            0            0            0            0            0            0            0            0            0          700            0            0            0            0            0          103            0            0            0            0            0            0            0            0            0         2751            1         2510        14902            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Poring coin          440            0            0            0            0           27            0            0            0            0            0           31            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          202            0            0            0           63          101            9            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0            0
                                                  Stem       125991            0            0            0            0         7550            0        20900            0            0        25800         5450            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3900            0            0            0        10700            0            0            0            0            0            0         9052            0          801            0            0            0            0            0            0            0            0            0            0            0            0        15600            0            0            0            0            0         3453            0            0            0            0            0            0            0            0            0         1150            0         2150        17150         2300            0            0            0            0            0            0           35            0            0            0            0            0            0            0            0            0
                                                 Stone         7980            0            0            0            0          197         1935            0            0            0            0            0           38            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         5351            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          284            0            0            0            0            0            0            0            0            0          175            0            0            0            0            0            0            0            0            0
                                     Tasty Pink Ration           14            0            0            0            0           14            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                   Thunderproof Potion        44772            0            0            0            0          227           51            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          200            0        23261            0            0            0            0            0         1572            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2086            0            0           15            0            0        17360            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                            Undershirt            9            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            3            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0
                                        Unknown #19482          380            0            0            0            0           26           65            0            0            0            0           55            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           23            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           15            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          196            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Unknown #19814         1225            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           18            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           83            0            0            1            0            1         1121            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Vali's Manteau            1            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
              Valkyrian Armor [Baby Leopard:LUK+3] [1]            1            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Venom Canine        14883            0            0            0            0         2166            0            0            0            0            0         2400            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           59            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            0            0        10248            4            0            0            0            0            0            0            0            0
                                        Vesper Core 02            1            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Yellow Herb        12311            0            0            0            0         1444            0            0            0            0          619          595            0            0            0         3235            0            0            0            0            0            0            0           30            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          276            0            0            0            0            0            0          807            0            0            0            0         5190            0            0            0            0            0            0            0          114            0            0            0            0            0            0            0            0            0
                                         Zenorc's Fang        27401            0            0            0            0         1350            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          300            0            0            0         1650            0            0            0            0            0            0         1200            0          300            0            0            0            0            0            0            0            0            0            0            0            0          450            0            0            0            0            0          451            0            0            0            0            0            0            0         3000            0          300         1650          150            0        16600            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                            +4 Berserk            3            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      +4 Goibne's Helm            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                  +5 Combo Battle Glove [Marina*4] [4]            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
            +5 Nidhoggur's Shadow Garb [Frilldora] [1]            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
              +7 Nidhoggur's Shadow Garb [Raydric] [1]            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                    +7 Thorny Buckler [Thara Frog] [1]            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
